name	brand	sale_day	sale_price	description	weight
Чихэвч House of Marley	The House of Marley	55	75,970₮	-24%	04HDHOMDE041SB
Талх шарагч KITCHEN AID	Kitchen aid	55	419,970₮	-24%	1200вт
Хөргөгч HITACHI R-W660PG7	HITACHI	55	4,499,970₮	-24%	New Big French
Хөргөгч HITACHI R-W660PG3	HITACHI	55	4,499,970₮	-24%	Дөрвөн хаалгатай
Хөргөгч HITACHI R-B410PG6	HITACHI	55	2,599,970₮	-24%	Stylish Bottom Freezer
Хөргөгч HITACHI R-B410PG6	HITACHI	55	2,799,970₮	-24%	Stylish Bottom Freezer
Хөргөгч HITACHI R-H350PG7	HITACHI	55	2,199,970₮	-24%	2Door Top Freezer
Хэрчигч MORPHY R	MORPHY RICHARDS	55	219,970₮	-24%	механик
Хөргөгч HITACHI R-B410PG6	HITACHI	55	2,599,970₮	-24%	Stylish Bottom Freezer
Тавцан плитка BEKO	BEKO	55	799,970₮	-24%	Керамик
Сахлын машин REMINGTON	REMINGTON	55	144,970₮	-24%	0.46
Үс авагч ком	PHILIPS	55	290,970₮	-24%	0.48
Зурагт LG OLED65G3RLA	LG	33	8,199,990₮	-23%	65 инч
Угаалгын машин/Хатаагч SAMSUNG	SAMSUNG	22	2,699,970₮	-23%	Бүрэн автомат
Үсний сэнс Philips	PHILIPS	11	99,990₮	-23%	BHC010/10
Чихэвч House of Marley	House of Marley	55	619,970₮	-23%	0.25
Шарах шүүгээ Hansa	Hansa	55	1,549,970₮	-23%	65 л
Уурын шүүгээ LG	LG	55	5,499,970₮	-23%	S3MFC
Зурагт MONEL LE-40T1CO	MONEL	33	499,990₮	-23%	40 инч
Зөөврийн компьютерийн суурь	PROMATE	55	79,970₮	-23%	0.86
Зөөврийн компьютерийн суурь	PROMATE	55	79,970₮	-23%	0.86
Хиншүү сорогч BEKO	BEKO	55	849,970₮	-23%	Цахилгаан мэдрэгчтэй товчлуур
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	459,970₮	-23%	1.1
Зурагт ENJOY LE-43S2BMN.UNI	ENJOY	33	849,990₮	-23%	43 инч
Зурагт MONEL LE-50N3BMN.EXP	MONEL	33	849,990₮	-23%	50 инч
Хөргөгч HITACHI R-VG540PG7	HITACHI	55	3,699,970₮	-23%	Big 2 Door
Шарах шүүгээ GORENJE	GORENJE	55	1,199,970₮	-23%	71 л
Зурагт ENJOY LE-43S1BMN.JIN	ENJOY	33	849,990₮	-23%	43 инч
Зурагт SAMSUNG UE55AU7500UXCE	SAMSUNG	33	2,299,990₮	-23%	55 инч
Хөргөгч BEKO RCSK270M20S	BEKO	55	1,549,970₮	-23%	Доороо хөлдөөгчтэй
Угаалгын машин HITACHI	HITACHI	55	2,699,970₮	-23%	Бүрэн автомат
Угаалгын машин GORENJE	GORENJE	55	1,149,970₮	-23%	Бүрэн автомат
Хөргөгч HITACHI R-WB560PG7	HITACHI	55	4,299,970₮	-23%	French доороо хөлдөөгчтэй
Хөргөгч HITACHI R-S700PG2	HITACHI	55	4,999,970₮	-23%	Side-by-Side
Хөргөгч HITACHI R-H215PG8	HITACHI	55	1,699,970₮	-23%	Дээрээ хөлдөөгчтэй
Печь LG MS2042DB	LG	00	347,990₮	-23%	20л
Хиншүү сорогч ENJOY	ENJOY	55	169,970₮	-23%	Саарал
Тавцан плитка BEKO	BEKO	55	999,970₮	-23%	Керамик
Хөлдөөгч MONEL FRML1880ACDC	MONEL	55	999,970₮	-23%	80 л
