,mark,price,produced_year,imported_year,type,hurd,hodolguur,distance_num,motor_vol
855,Toyota Prius 40,24.8,2013,2022,Гэр бүлийн,False,Хайбрид,230000.0,1.0
856,Lexus HS,25.5,2011,2020,Суудлын тэрэг,False,Бензин,129550.0,2.0
857,Toyota Sai,35.0,2015,2024,Суудлын тэрэг,False,Хайбрид,80000.0,2.0
858,Toyota Harrier,22.0,2006,2015,Суудлын тэрэг,False,Бензин,160000.0,2.0
859,Toyota Prius 40,29.6,2014,2024,Суудлын тэрэг,False,Хайбрид,154000.0,1.0
860,Toyota Avensis,24.8,2014,2024,Суудлын тэрэг,False,Бензин,64000.0,2.0
861,Toyota Prius 30,26.5,2010,2024,Суудлын тэрэг,False,Бензин,102000.0,1.0
862,Lexus RX,84.0,2017,2024,Жийп,False,Хайбрид,170000.0,3.0
863,Toyota Harrier,37.0,2006,2023,Жийп,False,Хайбрид,123456789.0,3.0
864,Toyota Harrier,55.0,2015,2024,Жийп,False,Бензин,160000.0,2.0
865,Toyota Prius 20,15.5,2005,2022,Суудлын тэрэг,False,Бензин,2000000.0,1.0
866,Nissan Dualis/Qashqai,15.0,2012,2015,Жийп,True,Бензин,113000.0,2.0
867,Toyota Prius 30,24.0,2009,2023,Суудлын тэрэг,False,Бензин,150000.0,1.0
868,Toyota Prius 30,18.5,2012,2019,Суудлын тэрэг,False,Бензин,233000.0,1.0
869,Toyota Prius 30,24.0,2012,2024,Суудлын тэрэг,False,Хайбрид,104000.0,1.0
870,Toyota Prius 30,23.4,2010,2024,Суудлын тэрэг,False,Хайбрид,136000.0,1.0
871,Lexus GS,45.5,2012,2024,Суудлын тэрэг,False,Хайбрид,150000.0,3.0
872,Toyota Sai,19.0,2010,2020,Суудлын тэрэг,False,Хайбрид,250000.0,2.0
873,Toyota Fielder,14.0,2009,2018,Суудлын тэрэг,False,Бензин,100000.0,1.0
874,Toyota Prius 30,22.0,2013,2022,Суудлын тэрэг,False,Хайбрид,180000.0,1.0
875,Toyota Harrier,25.0,2005,2015,Жийп,False,Бензин,99999.0,2.0
876,Nissan X-Trail,15.5,2009,2019,Жийп,False,Бензин,100000.0,2.0
877,Toyota Alphard,45.0,2012,2024,Гэр бүлийн,False,Хайбрид,164000.0,2.0
878,Mitsubishi L200,15.0,2001,2014,Жийп,False,Дизель,150000.0,2.0
879,Toyota Land Cruiser 100,33.0,2001,2008,Жийп,True,Бензин,160000.0,4.0
880,Nissan Navara,60.0,2017,2022,Жийп,False,Дизель,150000.0,2.0
881,Subaru Forester,14.8,2006,2015,Жийп,False,Бензин,230000.0,2.0
882,Toyota Sai,29.0,2010,2023,Суудлын тэрэг,False,Хайбрид,190000.0,2.0
883,Lexus LX,320.0,2019,2019,Жийп,True,Бензин,19000.0,5.0
884,Toyota Aqua,17.3,2014,2023,Суудлын тэрэг,False,Хайбрид,186000.0,1.0
885,Toyota Sai,18.5,2009,2019,Суудлын тэрэг,False,Бензин,189000.0,2.0
886,Toyota Mark,18.0,2011,2019,Гэр бүлийн,False,Бензин,200000.0,2.0
887,Toyota Camry,32.2,2012,2024,Суудлын тэрэг,False,Хайбрид,91000.0,2.0
888,Mazda Mazda3 Axela,24.0,2016,2020,Суудлын тэрэг,False,Бензин,145000.0,2.0
889,Subaru Forester,24.8,2011,2021,Жийп,False,Бензин,160000.0,2.0
890,Toyota Prius 30,21.3,2021,2012,Суудлын тэрэг,False,Хайбрид,190000.0,1.0
891,Toyota Prius 30,15.0,2010,2017,Суудлын тэрэг,False,Бензин,260000.0,4.0
892,BMW X5,39.0,2010,2010,Жийп,True,Бензин,92000.0,3.0
893,Toyota Prius 30,29.0,2011,2022,Суудлын тэрэг,True,Бензин,241000.0,2.0
894,Toyota Prius 50,37.0,2016,2024,Суудлын тэрэг,False,Хайбрид,182000.0,1.0
895,Toyota Crown,85.0,2018,2024,Суудлын тэрэг,False,Хайбрид,64000.0,2.0
896,Mercedes-Benz GLK-Class,63.0,2012,2021,Жийп,True,Бензин,130000.0,3.0
897,Lexus HS,29.5,2013,2020,Суудлын тэрэг,False,Хайбрид,140000.0,2.0
898,Toyota Prius 30,25.7,2013,2023,Суудлын тэрэг,False,Хайбрид,150000.0,1.0
899,Toyota Prius 30,20.0,2013,2020,Суудлын тэрэг,False,Бензин,200000.0,1.0
900,Toyota Voxy,34.5,2014,2023,Гэр бүлийн,False,Хайбрид,190000.0,1.0
901,Toyota Aqua,21.0,2018,2024,Суудлын тэрэг,False,Хайбрид,170000.0,1.0
902,Nissan Vanette,10.0,2001,2018,Суудлын тэрэг,False,Бензин,150000.0,1.0
903,Toyota Aqua,20.0,2018,2024,Суудлын тэрэг,False,Хайбрид,54000.0,1.0
904,Nissan Xterra,16.0,2003,2006,Жийп,True,Бензин,124000.0,3.0
905,Toyota Highlander,32.0,2008,2012,Жийп,True,Хайбрид,100000.0,3.0
906,Toyota Aqua,13.0,2014,2022,Суудлын тэрэг,False,Бензин,167000.0,1.0
907,Mitsubishi Delica,14.8,2007,2014,Гэр бүлийн,False,Бензин,200000.0,3.0
908,Toyota Crown,59.0,2016,2024,Суудлын тэрэг,False,Хайбрид,150000.0,3.0
909,Toyota Prius 20,12.5,2008,2018,Суудлын тэрэг,False,Хайбрид,60000.0,
910,Toyota Crown,28.0,2012,2019,Суудлын тэрэг,False,Бензин,170000.0,3.0
911,Nissan Patrol,260.0,2023,2023,Жийп,True,Бензин,18000.0,5.0
912,Subaru Forester,33.0,2014,2023,Жийп,False,Бензин,145000.0,2.0
913,Lexus HS,36.0,2015,2023,Суудлын тэрэг,False,Хайбрид,120000.0,2.0
914,Ford F-сери,160.0,2017,2017,Жийп,True,Бензин,120000.0,3.0
